n,modo,ordem_criacao,ordem_termino,bateu,inversoes
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-6-0-7,0,16
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
